Oxígeno,O
Fluor,F
Neón,Ne
Sodio,Na
Magnesio,Mg
Aluminio,Al
Sílice,Si
Fósforo,P
Azufre,S
Cloro,Cl
Argón,Ar
Potasio,K
Calcio,Ca
Escandio,Sc
Titanio,Ti
Vanadio,V
Cromo,Cr
Manganeso,Mn
Hierro,Fe
Cobalto,Co
Níquel,Ni
Cobre,Cu
Zinc,Zn
Galio,Ga
Germanio,Ge
Arsénico,As
Selenio,Se
Bromo,Br
Kryptón,Kr
Rubidio,Rb
Estroncio,Sr
Itrio,Y
Zirconio,Zr
Niobio,Nb
Molibdeno,Mo
Tecnecio,Tc
Rutenio,Ru
Rodio,Rh
Paladio,Pd
Plata,Ag
Cadmio,Cd
Indio,In
Estaño,Sn
Antimonio,Sb
Teluro,Te
Iodo,I
Xenón,Xe
Cesio,Cs
Bario,Ba
Lantano,La
Cerio,Ce
Praseodimio,Pr
Neodimio,Nd
Promecio,Pm
Samario,Sm
Europio,Eu
Gadolinio,Gd
Terbio,Tb
Disprosio,Dy
Holmio,Ho
Erbio,Er
Tulio,Tm
Iterbio,Yb
Lutecio,Lu
Hafnio,Hf
Tantalio,Ta
Wolframio,W
Renio,Re
Osmio,Os
Iridio,Ir
Platino,Pt
Oro,Au
Mercurio,Hg
Talio,Tl
Plomo,Pb
Bismuto,Bi
Polonio,Po
Ástato,At
Radón,Rn
Francio,Fr
Radio,Ra
Actinio,Ac
Torio,Th
Protactinio,Pa
Uranio,U
Neptunio,Np
Plutonio,Pu
Americio,Am
Curio,Cm
Berkelio,Bk
Californio,Cf
Einstenio,Es
Fermio,Fm
Mendelevio,Md
Nobelio,No
Lawrencio,Lr
Rutherfordio,Rf
Dubnio,Db
Seaborgio,Sg
Bohrio,Bh
Hassio,Hs
Meitnerio,Mt
Darmstadio,Ds
Ununio,Uuu
Ununbio,Uub
Ununtrio,Uut
Ununquadio,Uuq
Ununpentio,Uup
Ununhexio,Uuh
Ununseptio,Uus
Ununoctio,Uuo
